#$name,$network,$comentario
skype_52.169.104.89_32,52.169.104.89/32,
skype_52.169.105.194_32,52.169.105.194/32,
skype_52.169.105.219_32,52.169.105.219/32,
skype_52.169.106.115_32,52.169.106.115/32,
skype_52.169.154.144_32,52.169.154.144/32,
skype_52.169.190.101_32,52.169.190.101/32,
skype_52.172.53.101_32,52.172.53.101/32,
skype_52.172.54.196_32,52.172.54.196/32,
skype_52.172.55.238_32,52.172.55.238/32,
skype_52.173.190.229_32,52.173.190.229/32,
skype_52.174.144.192_32,52.174.144.192/32,
skype_52.174.150.25_32,52.174.150.25/32,
skype_52.174.166.73_32,52.174.166.73/32,
skype_52.174.166.107_32,52.174.166.107/32,
skype_52.174.166.156_32,52.174.166.156/32,
skype_52.174.186.47_32,52.174.186.47/32,
skype_52.175.24.155_32,52.175.24.155/32,
skype_52.175.33.58_32,52.175.33.58/32,
skype_52.175.37.105_32,52.175.37.105/32,
skype_52.175.38.240_32,52.175.38.240/32,
skype_52.177.186.61_32,52.177.186.61/32,
skype_52.177.186.70_32,52.177.186.70/32,
skype_52.177.186.78_32,52.177.186.78/32,
skype_52.178.25.175_32,52.178.25.175/32,
skype_52.178.34.159_32,52.178.34.159/32,
skype_52.178.36.12_32,52.178.36.12/32,
skype_52.178.36.169_32,52.178.36.169/32,
skype_52.178.38.115_32,52.178.38.115/32,
skype_52.178.108.202_32,52.178.108.202/32,
skype_52.178.114.127_32,52.178.114.127/32,
skype_52.178.145.227_32,52.178.145.227/32,
skype_52.178.148.1_32,52.178.148.1/32,
skype_52.178.148.152_32,52.178.148.152/32,
skype_52.178.158.225_32,52.178.158.225/32,
skype_52.178.179.194_32,52.178.179.194/32,
skype_52.178.186.230_32,52.178.186.230/32,
skype_52.178.198.107_32,52.178.198.107/32,
skype_52.179.139.166_32,52.179.139.166/32,
skype_52.179.142.102_32,52.179.142.102/32,
skype_52.183.117.84_32,52.183.117.84/32,
skype_52.185.146.154_32,52.185.146.154/32,
skype_52.185.151.102_32,52.185.151.102/32,
skype_52.187.6.119_32,52.187.6.119/32,
skype_52.187.79.90_32,52.187.79.90/32,
skype_52.187.117.218_32,52.187.117.218/32,
skype_52.187.123.78_32,52.187.123.78/32,
skype_52.187.126.35_32,52.187.126.35/32,
skype_52.187.135.79_32,52.187.135.79/32,
skype_52.225.131.249_32,52.225.131.249/32,
skype_52.232.76.40_32,52.232.76.40/32,
skype_52.232.78.53_32,52.232.78.53/32,
skype_52.232.129.71_32,52.232.129.71/32,
skype_52.232.132.60_32,52.232.132.60/32,
skype_52.232.135.81_32,52.232.135.81/32,
skype_52.233.128.227_32,52.233.128.227/32,
skype_52.233.29.169_32,52.233.29.169/32,
skype_52.233.30.121_32,52.233.30.121/32,
skype_65.55.127.0_24,65.55.127.0/24,
skype_66.119.157.192_26,66.119.157.192/26,
skype_66.119.158.0_25,66.119.158.0/25,
skype_104.40.75.8_32,104.40.75.8/32,
skype_104.40.76.196_32,104.40.76.196/32,
skype_104.40.82.150_32,104.40.82.150/32,
skype_104.40.91.215_32,104.40.91.215/32,
